0 'pt0 | x:0.48 y:0.20
0 'pt1 | x:0.38 y:0.35
1 'pt2 | x:0.49 y:0.96
0 'pt3 | x:0.63 y:0.50
0 'pt4 | x:0.78 y:0.72
1 'pt5 | x:0.13 y:0.83
0 'pt6 | x:0.96 y:0.14
1 'pt7 | x:0.08 y:0.42
1 'pt8 | x:0.28 y:0.49
1 'pt9 | x:0.60 y:0.73
0 'pt10 | x:0.73 y:0.46
1 'pt11 | x:0.12 y:0.57
1 'pt12 | x:0.17 y:0.42
0 'pt13 | x:0.96 y:0.09
1 'pt14 | x:0.95 y:0.97
1 'pt15 | x:0.75 y:0.77
0 'pt16 | x:0.09 y:0.06
0 'pt17 | x:0.40 y:0.39
0 'pt18 | x:0.31 y:0.05
0 'pt19 | x:0.88 y:0.65
1 'pt20 | x:0.76 y:0.93
0 'pt21 | x:0.92 y:0.41
0 'pt22 | x:0.33 y:0.29
1 'pt23 | x:0.13 y:1.00
1 'pt24 | x:0.15 y:0.89
0 'pt25 | x:0.93 y:0.41
1 'pt26 | x:0.37 y:0.46
1 'pt27 | x:0.18 y:0.59
0 'pt28 | x:0.76 y:0.24
1 'pt29 | x:0.42 y:0.58
