'pt0 | x:0.48 y:0.20
'pt1 | x:0.38 y:0.35
'pt2 | x:0.49 y:0.96
'pt3 | x:0.63 y:0.50
'pt4 | x:0.78 y:0.72
'pt5 | x:0.13 y:0.83
'pt6 | x:0.96 y:0.14
'pt7 | x:0.08 y:0.42
'pt8 | x:0.28 y:0.49
'pt9 | x:0.60 y:0.73
'pt10 | x:0.73 y:0.46
'pt11 | x:0.12 y:0.57
'pt12 | x:0.17 y:0.42
'pt13 | x:0.96 y:0.09
'pt14 | x:0.95 y:0.97
'pt15 | x:0.75 y:0.77
'pt16 | x:0.09 y:0.06
'pt17 | x:0.40 y:0.39
'pt18 | x:0.31 y:0.05
'pt19 | x:0.88 y:0.65
'pt20 | x:0.76 y:0.93
'pt21 | x:0.92 y:0.41
'pt22 | x:0.33 y:0.29
'pt23 | x:0.13 y:1.00
'pt24 | x:0.15 y:0.89
'pt25 | x:0.93 y:0.41
'pt26 | x:0.37 y:0.46
'pt27 | x:0.18 y:0.59
'pt28 | x:0.76 y:0.24
'pt29 | x:0.42 y:0.58
